ID,probability
TEST_00000,0.0017561885441501387
TEST_00001,0.008372970561832652
TEST_00002,0.162900190502559
TEST_00003,0.1106418212596669
TEST_00004,0.516431160095589
TEST_00005,0.1200087995483035
TEST_00006,0.4559756420776969
TEST_00007,0.35122013830532156
TEST_00008,0.2719630627199185
TEST_00009,0.0020287641978694146
TEST_00010,0.04848266794800575
TEST_00011,0.46826190958156666
TEST_00012,0.36407218633213007
TEST_00013,0.39471627842545365
TEST_00014,0.3127979688347762
TEST_00015,0.002752169207928468
TEST_00016,0.234733507943171
TEST_00017,0.362423726066999
TEST_00018,0.19384693509066578
TEST_00019,0.6345152450040016
TEST_00020,0.2510177143108548
TEST_00021,0.3946909397724355
TEST_00022,0.2714974620612184
TEST_00023,0.20003560117538685
TEST_00024,0.4040126537275748
TEST_00025,0.002871894331239824
TEST_00026,0.11108282817629393
TEST_00027,0.4575782283222073
TEST_00028,0.17675781983272987
TEST_00029,0.18895901916901509
TEST_00030,0.45375983802492614
TEST_00031,0.18616745405081112
TEST_00032,0.15638380993890827
TEST_00033,0.16680372936485602
TEST_00034,0.40350326298516714
TEST_00035,0.001524532876449073
TEST_00036,0.131722265561111
TEST_00037,0.3093862564457449
TEST_00038,0.23497266249432552
TEST_00039,0.003433913488390147
TEST_00040,0.17878835076141297
TEST_00041,0.14355407004049453
TEST_00042,0.300255928377399
TEST_00043,0.3004852921165954
TEST_00044,0.311501811269605
TEST_00045,0.49818891385681446
TEST_00046,0.525743546069442
TEST_00047,0.231195680972669
TEST_00048,0.12862085416892105
TEST_00049,0.3858741324373222
TEST_00050,0.2638437709574277
TEST_00051,0.16680920973600094
TEST_00052,0.11344970420330736
TEST_00053,0.5869431760517216
TEST_00054,0.0011627786494341269
TEST_00055,0.4075133136029321
TEST_00056,0.3211241566252442
TEST_00057,0.20927346478119863
TEST_00058,0.5063256920405066
TEST_00059,0.19248081504137754
TEST_00060,0.009435754138409153
TEST_00061,0.17074035951357946
TEST_00062,0.3315214874079959
TEST_00063,0.3311044210744744
TEST_00064,0.2105216596446952
TEST_00065,0.002150617287992625
TEST_00066,0.2713716427095562
TEST_00067,0.19302860055424892
TEST_00068,0.2923504704084715
TEST_00069,0.476775178754099
TEST_00070,0.3828603783944146
TEST_00071,0.35914816501331515
TEST_00072,0.22252716687524648
TEST_00073,0.24710652750513312
TEST_00074,0.14950076025700187
TEST_00075,0.25533123180796224
TEST_00076,0.018993911567497263
TEST_00077,0.0029302120462064364
TEST_00078,0.1187384797132475
TEST_00079,0.21085404015510817
TEST_00080,0.3580409660759444
TEST_00081,0.002569193011290115
TEST_00082,0.20733617182905195
TEST_00083,0.1767621313267925
TEST_00084,0.43232528390824454
TEST_00085,0.37232572575900325
TEST_00086,0.0020729869810066524
TEST_00087,0.38581694312934217
TEST_00088,0.09797251381012763
TEST_00089,0.37900908969310176
TEST_00090,0.2356751195853496
TEST_00091,0.09559978828036758
TEST_00092,0.37314373881124363
TEST_00093,0.5519117125769226
TEST_00094,0.0012124976320194473
TEST_00095,0.0026948862428806206
TEST_00096,0.45191248704358855
TEST_00097,0.1085435120775139
TEST_00098,0.37307888910543685
TEST_00099,0.271125184424561
TEST_00100,0.10525596665767531
TEST_00101,0.1901059526354143
TEST_00102,0.37478207365139715
TEST_00103,0.2875876581856075
TEST_00104,0.36822837842788336
TEST_00105,0.49126009022620953
TEST_00106,0.2769161792590832
TEST_00107,0.0014549807304775613
TEST_00108,0.3355435684582679
TEST_00109,0.0015004411426183541
TEST_00110,0.4171891864052317
TEST_00111,0.4064370093563039
TEST_00112,0.019243390394695525
TEST_00113,0.37429225050004766
TEST_00114,0.1691274326448864
TEST_00115,0.3932032249106826
TEST_00116,0.0073100725902599615
TEST_00117,0.4671986742590757
TEST_00118,0.33645875821829896
TEST_00119,0.1580301088722809
TEST_00120,0.0021600460675352652
TEST_00121,0.0014433203877353628
TEST_00122,0.32161356457216084
TEST_00123,0.5005777189114778
TEST_00124,0.4096216881390212
TEST_00125,0.2962903880769605
TEST_00126,0.006798480115270632
TEST_00127,0.06751040968148328
TEST_00128,0.2692756383954885
TEST_00129,0.39640222561966554
TEST_00130,0.22562851215997534
TEST_00131,0.39326527264924394
TEST_00132,0.001325595789474233
TEST_00133,0.27111638238168234
TEST_00134,0.3834935937365239
TEST_00135,0.0016293535058284308
TEST_00136,0.18590425089635035
TEST_00137,0.22488441381152674
TEST_00138,0.07828991621825837
TEST_00139,0.2495306235019849
TEST_00140,0.01613005906456614
TEST_00141,0.001498467507217544
TEST_00142,0.29771017895277274
TEST_00143,0.004438456955738275
TEST_00144,0.1370997080780382
TEST_00145,0.5093696009735844
TEST_00146,0.15738872462381087
TEST_00147,0.22616192202378793
TEST_00148,0.2386160914698138
TEST_00149,0.4128585165283515
TEST_00150,0.0017452706028102127
TEST_00151,0.0009153913049081396
TEST_00152,0.4083349230725635
TEST_00153,0.29092083020947734
TEST_00154,0.02315453110595434
TEST_00155,0.22648426808200964
TEST_00156,0.3494569425228409
TEST_00157,0.36413134169262296
TEST_00158,0.42705802120138225
TEST_00159,0.32578620227075744
TEST_00160,0.40652005749404574
